"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"15-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"C "	"J "	0	1	7	"T "	"C "	0	-2	0	8	5	"T "	"0"	" 7"	"C "	" -2"	"C "	"0"	" 7"	"J "	"  1"
"main"	1	"15-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"D "	"M "	0	-12	13	"B "	"F "	0	-1	0	1	12	"D "	"0"	"13"	"M "	"-12"	"B "	"0"	"13"	"F "	" -1"
"main"	2	"15-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"T "	"J "	0	-7	13	"K "	"B "	0	-1	0	6	12	"K "	"0"	"13"	"B "	" -1"	"T "	"0"	"13"	"J "	" -7"
"main"	3	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"S "	"S "	1	0	9	"M "	"W "	0	-4	0	9	5	"M "	"0"	" 9"	"W "	" -4"	"S "	"1"	" 9"	"S "	"  0"
"main"	4	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"K "	"K "	1	0	13	"B "	"W "	0	-10	0	13	3	"K "	"1"	"13"	"K "	"  0"	"B "	"0"	"13"	"W "	"-10"
"main"	5	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"X "	"S "	0	15	7	"C "	"P "	0	16	0	22	23	"C "	"0"	" 7"	"P "	" 16"	"X "	"0"	" 7"	"S "	" 15"
"main"	6	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"F "	"F "	1	0	9	"W "	"E "	0	6	0	9	15	"F "	"1"	" 9"	"F "	"  0"	"W "	"0"	" 9"	"E "	"  6"
"main"	7	"15-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"D "	"D "	1	0	11	"E "	"E "	1	0	0	11	11	"D "	"1"	"11"	"D "	"  0"	"E "	"1"	"11"	"E "	"  0"
"main"	8	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"R "	"Z "	0	-7	15	"R "	"R "	1	0	0	8	15	"R "	"0"	"15"	"Z "	" -7"	"R "	"1"	"15"	"R "	"  0"
"main"	9	"15-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"R "	"C "	0	1	15	"D "	"T "	0	-4	0	16	11	"R "	"0"	"15"	"C "	"  1"	"D "	"0"	"15"	"T "	" -4"
"main"	10	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"S "	"S "	1	0	15	"F "	"U "	0	1	0	15	16	"F "	"0"	"15"	"U "	"  1"	"S "	"1"	"15"	"S "	"  0"
"main"	11	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"B "	"N "	0	3	11	"P "	"P "	1	0	0	14	11	"P "	"1"	"11"	"P "	"  0"	"B "	"0"	"11"	"N "	"  3"
"main"	12	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Q "	"Q "	1	0	11	"E "	"T "	0	3	0	11	14	"Q "	"1"	"11"	"Q "	"  0"	"E "	"0"	"11"	"T "	"  3"
"main"	13	"15-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"P "	"C "	0	16	9	"I "	"G "	0	-2	0	25	7	"P "	"0"	" 9"	"C "	" 16"	"I "	"0"	" 9"	"G "	" -2"
"main"	14	"15-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"S "	"R "	0	-2	11	"I "	"J "	0	-6	0	9	5	"I "	"0"	"11"	"J "	" -6"	"S "	"0"	"11"	"R "	" -2"
"main"	15	"15-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"J "	"J "	1	0	9	"I "	"M "	0	-1	0	9	8	"I "	"0"	" 9"	"M "	" -1"	"J "	"1"	" 9"	"J "	"  0"
"main"	16	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"A "	"A "	1	0	7	"Z "	"F "	0	-1	0	7	6	"A "	"1"	" 7"	"A "	"  0"	"Z "	"0"	" 7"	"F "	" -1"
"main"	17	"15-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"S "	"S "	1	0	15	"V "	"O "	0	-1	0	15	14	"V "	"0"	"15"	"O "	" -1"	"S "	"1"	"15"	"S "	"  0"
"main"	18	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"S "	"R "	0	-12	13	"J "	"T "	0	-2	0	1	11	"J "	"0"	"13"	"T "	" -2"	"S "	"0"	"13"	"R "	"-12"
"main"	19	"15-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"D "	"K "	0	16	7	"L "	"G "	0	-5	0	23	2	"D "	"0"	" 7"	"K "	" 16"	"L "	"0"	" 7"	"G "	" -5"
"main"	20	"15-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"L "	"P "	0	6	13	"L "	"W "	0	1	0	19	14	"L "	"0"	"13"	"W "	"  1"	"L "	"0"	"13"	"P "	"  6"
"main"	21	"15-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"D "	"M "	0	-7	11	"U "	"H "	0	-4	0	4	7	"D "	"0"	"11"	"M "	" -7"	"U "	"0"	"11"	"H "	" -4"
